Bevölkerung nach Alter, Geschlecht und Gemeinden, 2012-2015 | population by age, sex and lau2, 2012-2015;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;AGE_GROUP;POP_TOTAL;POP_MALE;POP_FEMALE;YEAR
AT1;AT12;AT121;30504;Aschbach-Markt;0_4;199;102;97;2015
AT1;AT12;AT121;30504;Aschbach-Markt;5_9;205;87;118;2015
AT1;AT12;AT121;30504;Aschbach-Markt;10_14;219;115;104;2015
AT1;AT12;AT121;30504;Aschbach-Markt;15_19;233;125;108;2015
AT1;AT12;AT121;30504;Aschbach-Markt;20_24;246;121;125;2015
AT1;AT12;AT121;30504;Aschbach-Markt;25_29;202;111;91;2015
AT1;AT12;AT121;30504;Aschbach-Markt;30_34;247;115;132;2015
AT1;AT12;AT121;30504;Aschbach-Markt;35_39;248;127;121;2015
AT1;AT12;AT121;30504;Aschbach-Markt;40_44;270;133;137;2015
AT1;AT12;AT121;30504;Aschbach-Markt;45_49;302;150;152;2015
AT1;AT12;AT121;30504;Aschbach-Markt;50_54;282;147;135;2015
AT1;AT12;AT121;30504;Aschbach-Markt;55_59;234;118;116;2015
AT1;AT12;AT121;30504;Aschbach-Markt;60_64;188;92;96;2015
AT1;AT12;AT121;30504;Aschbach-Markt;65_69;143;69;74;2015
AT1;AT12;AT121;30504;Aschbach-Markt;70_74;166;76;90;2015
AT1;AT12;AT121;30504;Aschbach-Markt;75_79;134;58;76;2015
AT1;AT12;AT121;30504;Aschbach-Markt;80_84;93;34;59;2015
AT1;AT12;AT121;30504;Aschbach-Markt;85_89;52;24;28;2015
AT1;AT12;AT121;30504;Aschbach-Markt;90_94;15;3;12;2015
AT1;AT12;AT121;30504;Aschbach-Markt;95_;3;0;3;2015
AT1;AT12;AT121;30506;Behamberg;0_4;178;86;92;2015
AT1;AT12;AT121;30506;Behamberg;5_9;157;92;65;2015
AT1;AT12;AT121;30506;Behamberg;10_14;180;102;78;2015
AT1;AT12;AT121;30506;Behamberg;15_19;192;99;93;2015
AT1;AT12;AT121;30506;Behamberg;20_24;198;99;99;2015
AT1;AT12;AT121;30506;Behamberg;25_29;189;107;82;2015
AT1;AT12;AT121;30506;Behamberg;30_34;218;105;113;2015
AT1;AT12;AT121;30506;Behamberg;35_39;202;108;94;2015
AT1;AT12;AT121;30506;Behamberg;40_44;233;111;122;2015
AT1;AT12;AT121;30506;Behamberg;45_49;269;137;132;2015
AT1;AT12;AT121;30506;Behamberg;50_54;284;144;140;2015
AT1;AT12;AT121;30506;Behamberg;55_59;216;123;93;2015
AT1;AT12;AT121;30506;Behamberg;60_64;166;76;90;2015
AT1;AT12;AT121;30506;Behamberg;65_69;168;84;84;2015
AT1;AT12;AT121;30506;Behamberg;70_74;138;71;67;2015
AT1;AT12;AT121;30506;Behamberg;75_79;121;60;61;2015
AT1;AT12;AT121;30506;Behamberg;80_84;76;35;41;2015
